[],,1193717
[],,1261946
"[39.1073449, -77.222137]",,1214754
"[32.8639501, -96.83630649999999]",,1216386
"[32.7829961, -116.9915667]",,1254532
"[42.9668549, -71.08428409999999]",,1272323
"[39.3849763, -74.6201889]",,1225005
"[41.83763190000001, -88.0587503]",,1187168
"[42.8416079, -106.3209079]",,1266942
"[38.5523347, -90.255732]",,1274123
"[37.0508398, -93.291731]",,1224818
"[42.78764049999999, -73.7175128]",,1190635
"[39.7131087, -104.9128906]",,1222348
"[34.8962121, -95.6952223]",,1246747
"[37.959211, -87.55007599999999]",,1245302
"[31.1165629, -97.8327987]",,1255687
"[43.1245468, -89.368421]",,1188227
"[28.16327, -81.49111860000001]",,1238639
"[38.9111831, -75.4260711]",,1197704
"[40.8410091, -73.364457]",,1188432
"[39.7063461, -105.0397028]",,1219251
"[40.0611004, -82.9872888]",,1242449
"[40.6062222, -73.7597779]",,1273751
"[40.6072105, -73.76242060000001]",,1245476
"[37.9626421, -121.793324]",,1246934
"[32.5608124, -117.0434687]",,1269266
"[33.7476851, -96.549645]",,1250713
"[41.6496382, -91.49398219999999]",,1190157
"[29.5611816, -95.78269999999999]",,1248984
"[42.9891557, -85.6967636]",,1250703
"[41.294453, -96.0814403]",,1253333
"[40.6253342, -79.1606339]",,1269986
"[40.3445875, -76.4317945]",,1272416
"[37.70863900000001, -97.171295]",,1267195
"[28.024627, -82.434658]",,1244409
[],,1250239
"[38.2669214, -85.78934339999999]",,1271349
"[33.4510824, -112.1175183]",,1252512
"[36.179637, -115.11225]",,1216092
"[42.73940320000001, -90.4748104]",,1277354
"[41.2636631, -95.9020353]",,1278836
"[33.469372, -111.995557]",,1186795
"[46.6999224, -92.11581869999999]",,1254936
"[35.7563189, -95.4146221]",,1253875
"[41.27963039999999, -95.9854123]",,1253604
"[33.7338988, -111.9606585]",,1257296
"[29.7362279, -94.9601287]",,1244803
"[40.3975838, -75.92749479999999]",,1276868
"[40.9147309, -97.1003556]",,1280409
"[44.5152777, -92.9125733]",,1278824
"[40.6133861, -75.4809782]",,1189785
"[40.8429444, -96.70837999999999]",,1253685
"[32.3576858, -111.0418257]",,1254581
"[36.7704609, -119.7770416]",,1245602
"[40.2202359, -77.0100976]",,1192623
"[33.7847598, -118.2628295]",,1221487
"[32.3745187, -111.0714821]",,1252571
"[41.78840599999999, -90.21986869999999]",,1244868
"[36.7331547, -76.5928065]",,1241613
"[41.8233186, -87.8737895]",,1277312
"[33.1984532, -111.5712064]",,1246342
"[41.787978, -87.74150209999999]",,1282239
"[41.94156530000001, -87.7468675]",,1239131
"[36.1161105, -80.2306815]",,1259010
"[33.4236214, -96.57907499999999]",,1263490
"[28.150651, -81.45352989999999]",,1254794
"[38.8536844, -104.8123047]",,1191325
"[43.0071419, -88.372305]",,1230371
"[28.0656542, -82.4593426]",,1275113
"[43.6528759, -116.4252359]",,1253348
"[40.129728, -88.242373]",,1200230
"[36.2146418, -115.0984745]",,1226738
"[45.5830474, -122.725575]",,1226241
"[40.9865895, -74.1261261]",,1224966
"[39.518194, -104.786664]",,1242745
"[35.2596716, -113.984957]",,1276995
"[38.2850424, -104.5852744]",,1217428
"[39.154841, -123.2108395]",,1270744
"[32.9563427, -97.2029908]",,1257307
"[41.2515949, -75.8650772]",,1287243
"[41.6879692, -72.9480442]",,1212234
"[40.6933819, -73.97586849999999]",,1245482
"[38.8773123, -104.7200891]",,1218136
"[29.2969876, -81.06477]",,1277095
"[43.12550359999999, -87.96563970000001]",,1270966
"[42.9975793, -84.1768486]",,1269708
"[27.7934911, -97.3919525]",,1255852
"[40.744373, -74.37664]",,1253744
"[43.287813, -93.20293149999999]",,1246745
"[41.9992676, -87.70580009999999]",,1282232
"[44.0788277, -123.1882524]",,1240705
"[39.2677601, -94.4726563]",,1192791
"[42.615852, -88.475657]",,1234275
"[30.6287976, -81.762947]",,1243477
"[47.7194391, -122.3126829]",,1273014
"[35.6521532, -97.1415009]",,1263298
"[47.655742, -122.5318028]",,1265434
"[33.7008636, -117.394732]",,1210273
"[34.7007316, -82.2844205]",,1219604
"[32.9422784, -97.26605029999999]",,1232564
"[41.964685, -87.8001089]",,1193430
"[39.0764208, -77.155731]",,1270450
"[42.4750841, -70.918539]",,1222976
"[42.5249735, -83.18905629999999]",,1204030
"[26.0351259, -80.1779731]",,1230990
"[40.1212019, -88.232117]",,1203335
"[39.1256939, -82.53796679999999]",,1239189
"[34.208736, -118.868215]",,1202529
"[42.2975011, -85.59944370000001]",,1239123
"[44.485039, -73.20153499999999]",,1225306
"[47.5030603, -122.1719188]",,1196818
"[45.5297904, -122.6985953]",,1245972
"[38.456219, -77.4590283]",,1187814
"[25.8693032, -80.2099209]",,1266201
"[25.835723, -80.21699629999999]",,1284943
"[29.81667509999999, -82.49389029999999]",,1258772
"[30.0209172, -82.35763709999999]",,1266049
"[29.66254899999999, -82.34126200000001]",,1260249
"[40.078832, -93.6520614]",,1257228
"[41.602108, -93.74534]",,1249562
"[26.1238893, -80.15355579999999]",,1219102
"[36.3945529, -94.21190750000001]",,1268109
"[29.8382283, -81.3452102]",,1252875
"[37.7324739, -122.3866413]",,1189227
"[41.453612, -82.173278]",,1263466
"[44.9609064, -93.2664087]",,1189918
"[39.1406475, -76.6184226]",,1232566
"[41.461875, -82.184958]",,1263465
"[43.6853602, -70.26922789999999]",,1268005
"[46.1475169, -122.9621499]",,1209312
"[34.2710635, -77.829309]",,1247808
"[32.0581694, -81.1153825]",,1242238
"[42.7102696, -87.8358609]",,1207470
"[26.2938619, -81.4823851]",,1212348
"[34.0250149, -84.328086]",,1230227
"[40.2683575, -74.5967941]",,1276812
"[26.6638346, -81.8305243]",,1247588
"[42.0437924, -87.8153031]",,1255863
"[21.416415, -157.9993677]",,1257063
"[34.09953, -117.9621744]",,1212770
"[40.45137649999999, -79.89182799999999]",,1197142
"[40.89305909999999, -74.0631969]",,1204437
"[41.74937870000001, -71.394763]",,1248622
"[37.7324484, -122.3838577]",,1256172
"[40.394075, -76.4847403]",,1260624
"[41.1985452, -73.16493369999999]",,1255755
"[30.6393743, -81.4607755]",,1281317
"[38.962813, -77.4075096]",,1266197
"[40.650724, -74.398248]",,1281153
"[29.7625202, -95.73805379999999]",,1231388
[],,1199588
"[41.67283, -72.96287280000001]",,1259881
"[40.8437887, -74.199859]",,1259943
"[41.40612050000001, -88.11382569999999]",,1276639
"[30.9148985, -93.9832706]",,1260269
"[30.9148985, -93.9832706]",,1260268
"[39.988051, -85.99072]",,1196567
"[29.849512, -95.2213079]",,1206035
"[39.0688892, -84.3960329]",,1256256
"[33.50123689999999, -117.1068766]",,1274621
"[33.9562158, -84.249347]",,1191758
"[30.931701, -86.6060945]",,1272262
"[37.12457029999999, -121.6617391]",,1208666
"[41.36835869999999, -81.8040445]",,1210352
"[37.2454079, -121.8497586]",,1252895
"[39.7521487, -121.6199915]",,1244890
"[41.68824, -71.166721]",,1248221
"[35.242204, -106.7143062]",,1189790
"[30.4347733, -86.63226]",,1268906
"[41.370451, -74.684964]",,1202939
"[40.52237280000001, -74.21673779999999]",,1280522
"[33.8779459, -117.2261502]",,1256966
