Case Number,Missing Date,Gender,Race,Age Missing,Missing City,Missing State,Missing Zip,Lat,Lon,Vehicle Style,Vehicle Color
1199097,2012-07-19,Male,Black,5,Chicago,IL,60619,41.7458012,-87.6087638,,
1201418,2012-08-26,Female,White,5,Niagara Falls,NY,14301,43.0984101,-79.0334288,,
1203415,2012-09-30,Female,Biracial,5,North Miami,FL,33181,25.9003878,-80.1484407,,
1204922,2012-10-24,Female,Biracial,5,Poplar Bluff,MO,63901,36.7569994,-90.392888,Sport Utility,Silver
1210258,2013-02-04,Male,Hispanic,5,North Miami,FL,33161,25.8909628,-80.1819268,Sport Utility,Silver
1212953,2013-03-25,Female,Black,5,Sacramento,CA,95828,38.4929881,-121.3884671,,
1213619,2013-04-07,Female,White,5,Gladstone,MO,64119,39.2015955,-94.5315029,,Green
1233353,2014-06-09,Male,White,5,Taylorsville,NC,,35.9216748,-81.1768813,Sport Utility,
1235022,2014-07-11,Male,Black,5,Port Huron,MI,48060,42.9708634,-82.4249142,,
1245608,2015-03-19,Female,Black,5,Union Springs,AL,,32.144316,-85.7149495,Van,Maroon
1252669,2015-08-06,Male,White,5,Jacob Lake,AZ,,36.7138368,-112.2168982,,
1253413,2015-08-18,Female,White,5,Mocksville,NC,27028,35.8940263,-80.5614494,Crossover,Silver
1260316,2015-12-31,Male,Hispanic,5,Allentown,PA,,40.6084305,-75.4901833,,
1270879,2016-06-22,Female,White,5,Bemidji,MN,56601,47.4875361,-94.8858492,,
1275027,2016-08-20,Female,White,5,Watkins,MN,,45.3152415,-94.4086029,Truck,White
1284935,2016-12-24,Female,Black,5,Ruther Glen,VA,22546,37.9287494,-77.4558151,Sport Utility,Silver
1188523,2012-02-03,Female,Biracial,6,Saginaw,MI,48602,43.4304646,-83.9638426,"Sedan, 4 door",Maroon
1190242,2012-02-13,Female,Hispanic,6,Deming,NM,88030,32.2686981,-107.7586404,,
1191586,2012-03-27,Male,White,6,Colony,MO,,40.2539287,-91.9907307,,
1193092,2012-04-20,Female,Hispanic,6,Tucson,AZ,85711,32.2107257,-110.8850949,,
1196384,2012-06-09,Male,Black,6,Cabrillo,CA,90810,33.7986156,-118.2150663,,
1198730,2012-07-13,Female,Black,6,Fresno,CA,93727,36.7486376,-119.7078532,,
1215022,2013-04-30,Female,Black,6,Scooba,MS,39358,32.8281868,-88.4764273,"Sedan, 4 door",Gray
1215236,2013-05-04,Male,White,6,Confluence,PA,15424,39.8128547,-79.3567015,,White
1219378,2013-07-13,Female,Black,6,Harvey,LA,70058,29.8699332,-90.0653341,,
1220072,2013-07-26,Female,White,6,Jackson,OH,45640,39.0520169,-82.6365536,,
1226663,2013-12-21,Male,Biracial,6,Jefferson City,MO,65109,38.5686223,-92.2433487,"Sedan, 4 door",Maroon
1232087,2014-05-10,Female,White,6,Crossville,TN,38555,35.9489566,-85.0269014,"Sedan, 4 door",White
1236032,2014-08-02,Female,Biracial,6,East Bremerton,WA,,47.5978732,-122.6295847,,
1237481,2014-09-06,Male,Hispanic,6,San Jose,CA,95111,37.2856632,-121.8277925,,
1238449,2014-09-29,Female,White,6,Duncan,OK,73533,34.4734741,-97.9157099,,
1244490,2015-02-22,Female,White,6,Corpus Christi,TX,,27.8005828,-97.396381,Van,White
1255938,2015-10-11,Female,White,6,Houston,TX,,29.7604267,-95.3698028,Truck,Blue
1268704,2016-05-22,Male,Black,6,Junction City,KS,66441,39.0286093,-96.8313978,,
1270521,2016-06-16,Female,Black,6,Yoakum,TX,77995,29.2877469,-97.151931,"Sedan, 4 door",White
1276757,2016-09-14,Female,Hispanic,6,Wilmington,NC,,34.2257255,-77.9447102,,
1276967,2016-09-18,Male,Black,6,Youngsville,LA,70592,30.0996471,-91.9901206,,
1197266,2012-06-20,Male,White,7,Canon City,CO,,38.4494063,-105.2253316,Motorized Home,Tan
1198224,2012-07-06,Male,Black,7,Houston,TX,77044,29.8963788,-95.1640605,"Sedan, 4 door",Black
1203253,2012-09-23,Male,White,7,Unionville,TN,,35.6217359,-86.592495,,
1208583,2013-01-05,Male,White,7,Seligman,AZ,86337,35.3255608,-112.8774057,,
1209946,2013-01-27,Male,White,7,Citrus Heights,CA,95621,38.6940006,-121.3026883,Sport Utility,Silver
1218976,2013-07-07,Male,Black,7,Washington,DC,200025,38.8897896,-76.9718806,,
1220243,2013-07-29,Male,Black,7,Riverdale,IL,60827,41.6333678,-87.6331021,,
1224855,2013-11-01,Male,Black,7,Brandon,MS,39042,32.2732024,-89.9859158,,
1232154,2014-05-12,Female,Black,7,Oakland,CA,94605,37.7554905,-122.1462193,,
1236489,2014-08-13,Female,White,7,Oswegatchie,NY,,44.1828405,-75.070196,"Sedan, 4 door",White
1240220,2014-11-08,Female,White,7,Ardmore,OK,,34.1742611,-97.1436254,Hatchback/Fastback,Silver
1251170,2015-07-08,Male,Hispanic,7,Alice,TX,78332,27.7522487,-98.0697249,"Sedan, 4 door",White
1260302,2015-12-31,Male,Black,7,Zwolle,LA,71486,31.6315626,-93.6440698,Sport Utility,
1272811,2016-07-19,Female,White,7,Amarillo,TX,,35.2219971,-101.8312969,,
1283232,2016-12-05,Female,Hispanic,7,Wichita,KS,,37.6871761,-97.330053,Sport Utility,Black
1189325,2012-02-16,Male,Hispanic,8,Palatine,IL,60067,42.1112958,-88.0607565,"Sedan, 4 door",Silver
