Case Type,Case Number,Status,Source,Incident Date,Incident Time,Incident Location Type,Incident Location,Incident City,Incident State,Incident Zip,Incident County,Child ID 1,Child ID 2,Child ID 3,Child ID 4,Child ID 5,Child ID 6,Child Race 1,Child Race 2,Child Race 3,Child Race 4,Child Race 5,Child Race 6,Child Gender 1,Child Gender 2,Child Gender 3,Child Gender 4,Child Gender 5,Child Gender 6,Child Perceived Age 1,Child Perceived Age 2,Child Perceived Age 3,Child Perceived Age 4,Child Perceived Age 5,Child Perceived Age 6,Offender Gender 1,Offender Gender 2,Offender Gender 3,Offender Race 1,Offender Race 2,Offender Race 3,Offender Age 1,Offender Age 2,Offender Age 3,Offender Perceived Age 1,Offender Perceived Age 2,Offender Perceived Age 3,Vehicle Style 1,Vehicle Style 2,Vehicle Color 1,Vehicle Color 2,How Got Away,How Got Away Detail,Offender Method Animal,Offender Method Candy,Offender Method Money,Offender Method Ride,Offender Method Other,Offender Method Other Detail
Attempted Abduction,1190217,Closed,Internet,3/2/2012,12:00 AM,Street,Unknown Address,Sioux Falls,SD,57104,Minnehaha,458536,,,,,,Unknown,,,,,,Male,,,,,,9,,,,,,Male,,,White,,,,,,50,,,,,Black,,Unknown,,0,0,0,0,-1,Unknown
Attempted Abduction,1190216,Closed,Internet,3/1/2012,12:00 AM,Street,Unknown Address,Sioux Falls,SD,57106,Minnehaha,458535,,,,,,Unknown,,,,,,Unknown,,,,,,Unknown,,,,,,Male,,,White,,,,,,50,,,,,White,,Unknown,,0,0,0,0,-1,Unknown
Attempted Abduction,1226733,Closed,Internet,9/1/2013,12:00 AM,Street,Unknown address,Summerville,SC,29483,Dorchester,500865,,,,,,Unknown,,,,,,Male,,,,,,10,,,,,,Male,,,White,,,31,,,,,,,,,,Fought/Broke Free,,0,0,0,0,-1,Unknown
Attempted Abduction,1228285,Closed,Internet,1/20/2014,12:00 AM,Home - Residence,Unknown address,Villa Rica,GA,30180,Carroll,503162,,,,,,White,,,,,,Female,,,,,,5,,,,,,Male,,,Unknown,,,,,,Unknown,,,,,,,Adult/Child Intervened,,0,0,0,0,-1,None
Attempted Abduction,1195805,Closed,Internet,5/7/2012,12:00 AM,Street,Unknown address,Vinita Park,MO,63114,St. Louis,464582,,,,,,Unknown,,,,,,Female,,,,,,9,,,,,,Male,,,Unknown,,,,,,Unknown,,,Pickup Truck,,Black,,Ran Away,,0,0,0,-1,-1,Sex
Attempted Abduction,1226739,Closed,Internet,11/17/2013,12:00 AM,Street,Unknown address,Wausa,NE,68786,Knox,500876,,,,,,Unknown,,,,,,Unknown,,,,,,Unknown,,,,,,Unknown,,,Unknown,,,,,,Unknown,,,Van,,White,,Ran Away,,0,0,0,-1,0,
Attempted Abduction,1191933,Closed,Internet,3/23/2012,12:00 AM,Street,Unknown address,Williamson,WV,25661,Mingo,460401,,,,,,Unknown,,,,,,Female,,,,,,17,,,,,,Male,,,Unknown,,,,,,50-69,,,Van,,White,,Released,,0,0,0,0,-1,None
Attempted Abduction,1226319,Closed,Internet,10/31/2013,6:55 AM,School - Bus Stop,Unknown address,Mount Holly,NC,28120,Gaston,500281,,,,,,Unknown,,,,,,Unknown,,,,,,Unknown,,,,,,Male,,,White,,,,,,30-40,,,"Sedan, 4 door",,Blue,,Ignored/Refused,,0,0,0,0,-1,"Party, Alcohol, Pornography"
Attempted Abduction,1187829,Closed,Internet,1/18/2012,7:00 AM,School - Bus Stop,Unknown Address,Logan Elm Village,OH,43113,Pickaway,455874,,,,,,Unknown,,,,,,Male,,,,,,12,,,,,,Male,,,White,,,62,,,,,,,,Blue,,Ran Away,,0,0,0,-1,0,
Attempted Abduction,1187823,Closed,Internet,1/23/2012,7:00 AM,Street,Unknown Address,Union Park,FL,32829,Orange,455866,,,,,,Unknown,,,,,,Female,,,,,,17,,,,,,Male,,,White,,,,,,20-27,,,,,,,Fought/Broke Free,,0,0,0,0,-1,None
Attempted Abduction,1226323,Closed,Internet,11/1/2013,7:10 AM,School - Bus Stop,Unknown address,Mount Holly,NC,28120,Gaston,500285,,,,,,Unknown,,,,,,Unknown,,,,,,Unknown,,,,,,Male,,,White,,,,,,30-40,,,"Sedan, 4 door",,Blue,,Ignored/Refused,,0,0,0,0,0,"Party, Alcohol, Pornography"
Attempted Abduction,1227601,Closed,Internet,10/25/2013,10:20 AM,Street,Unknown address,Juneau,AK,,Juneau,502142,,,,,,Unknown,,,,,,Male,,,,,,14,,,,,,Male,,,Unknown,,,,,,Unknown,,,,,Black,,Ignored/Refused,,0,0,0,-1,0,
Attempted Abduction,1226765,Closed,Internet,12/18/2013,4:00 PM,Street,Unknown address,Naples,FL,34114,Collier,500909,,,,,,Unknown,,,,,,Female,,,,,,11,,,,,,Male,,,Black,,,,,,20-25,,,"Sedan, 4 door",,,,Ignored/Refused,,0,0,0,-1,-1,Parent sent
Attempted Abduction,1228284,Closed,Internet,1/21/2014,4:07 PM,Street,Unknown address,Dacula,GA,30019,Gwinnett,503160,,,,,,Unknown,,,,,,Male,,,,,,11,,,,,,Male,,,White,,,,,,50-59,,,Pickup Truck,,Black,,Ignored/Refused,,0,0,0,0,-1,Unknown
