Case Type,Case Number,Status,Source,Incident Date,Incident Time,Incident Location Type,Incident Location,Incident City,Incident State,Incident Zip,Incident County,Child ID 1,Child ID 2,Child ID 3,Child ID 4,Child ID 5,Child ID 6,Child Race 1,Child Race 2,Child Race 3,Child Race 4,Child Race 5,Child Race 6,Child Gender 1,Child Gender 2,Child Gender 3,Child Gender 4,Child Gender 5,Child Gender 6,Child Perceived Age 1,Child Perceived Age 2,Child Perceived Age 3,Child Perceived Age 4,Child Perceived Age 5,Child Perceived Age 6,Offender Gender 1,Offender Gender 2,Offender Gender 3,Offender Race 1,Offender Race 2,Offender Race 3,Offender Age 1,Offender Age 2,Offender Age 3,Offender Perceived Age 1,Offender Perceived Age 2,Offender Perceived Age 3,Vehicle Style 1,Vehicle Style 2,Vehicle Color 1,Vehicle Color 2,How Got Away,How Got Away Detail,Offender Method Animal,Offender Method Candy,Offender Method Money,Offender Method Ride,Offender Method Other,Offender Method Other Detail
Attempted Abduction,1193717,Closed,Internet,4/21/2012,7:01 PM,Park,Midland Dr & Brennan Dr,Newark,DE,19713,New Castle,462324,,,,,,Unknown,,,,,,Unknown,,,,,,Unknown,,,,,,Male,,,White,,,,,,Unknown,,,Van,,White,,Ran Away,,0,0,0,0,-1,Unknown
Attempted Abduction,1261946,Closed,Internet,1/27/2016,4:15 PM,Street,Midmeadow Ln & Pryor Dr,Festus,MO,63028,Jefferson,553636,,,,,,Unknown,,,,,,Female,,,,,,Unknown,,,,,,Male,,,Unknown,,,,,,Unknown,,,,,,,Ran Away,,0,0,0,0,-1,None
Attempted Abduction,1214754,Closed,Internet,4/22/2013,6:54 PM,Street,Midsummer Dr & Upshire Cir,Gaithersburg,MD,20878,Montgomery,485645,,,,,,Unknown,,,,,,Male,,,,,,14,,,,,,Male,,,Hispanic,,,,,,Unknown,,,Van,,,,Fought/Broke Free,,0,0,0,0,-1,None
Attempted Abduction,1216386,Closed,Internet,5/7/2013,12:00 AM,Restaurant,Midway Rd & W Northwest Hwy,Dallas,TX,75220,Dallas,487483,,,,,,Unknown,,,,,,Male,,,,,,10,,,,,,Male,,,Unknown,,,,,,Unknown,,,,,,,Ran Away,,0,0,0,-1,0,
Attempted Abduction,1254532,Closed,Internet,9/8/2015,3:30 PM,Athletic Field,Milden Ave,La Mesa,CA,91942,San Diego,543278,,,,,,Unknown,,,,,,Female,,,,,,Unknown,,,,,,Male,,,Hispanic,,,,,,30-40,,,Pickup Truck,,Maroon,,Ignored/Refused,,0,0,0,0,-1,Cigarette
Attempted Abduction,1272323,Closed,Internet,7/12/2016,6:10 PM,Street,Mill Rd & Mary Vey Dr,Rockingham,NH,3833,Brentwood,568342,,,,,,Unknown,,,,,,Male,,,,,,10,,,,,,Male,,,White,,,,,,Unknown,,,Pickup Truck,,Red,,Unknown,,0,0,0,0,-1,None
Attempted Abduction,1225005,Closed,Internet,11/1/2013,7:00 AM,School - Bus Stop,Mill Rd & Tremont Ave,Egg Harbor Township,NJ,8234,Atlantic,498366,,,,,,Unknown,,,,,,Female,,,,,,Unknown,,,,,,Unknown,,,Unknown,,,,,,Unknown,,,Sport Utility,,White,,None,,0,0,0,0,-1,None
Attempted Abduction,1187168,Closed,Internet,1/10/2012,3:30 PM,Street,Milton Ave & Elmwood Dr,Glen Ellyn,IL,60137,DuPage,455149,,,,,,Unknown,,,,,,Unknown,,,,,,Unknown,,,,,,Male,,,White,,,,,,55,,,Van,,Blue,,Other,Child Left,-1,0,0,0,0,
Attempted Abduction,1266942,Closed,Internet,4/18/2016,4:30 PM,Street,Milton Ave & S Beech St,Casper,WY,82601,Natrona,560774,,,,,,Unknown,,,,,,Female,,,,,,Unknown,,,,,,Male,,,White,,,20,,,,,,,,,,Unknown,,0,0,0,0,-1,None
Attempted Abduction,1274123,Closed,Internet,8/1/2016,12:00 AM,Street,Minnesota Ave & Blow St,St. Louis,MO,63111,St. Louis City,570844,,,,,,Unknown,,,,,,Female,,,,,,11,,,,,,Male,,,White,,,43,,,,,,Van,,Gold,,Ran Away,Hid behind car,0,0,0,0,-1,Called over
Attempted Abduction,1224818,Closed,Internet,10/24/2013,3:40 PM,Street,Missouri St & North St,Nixa,MO,65714,Christian,498076,,,,,,Unknown,,,,,,Female,,,,,,8,,,,,,Male,,,White,,,,,,Unknown,,,Truck,,White,,Ignored/Refused,,0,0,0,-1,0,
Attempted Abduction,1190635,Closed,Internet,3/6/2012,8:40 AM,Outdoor - Open Area,Mohawk Hudson Bikeway,Cohoes,NY,12047,Albany,458999,,,,,,Unknown,,,,,,Male,,,,,,14,,,,,,Male,,,White,,,80,,,,,,,,,,Other,Walked Away,0,0,-1,0,0,
Attempted Abduction,1222348,Closed,Internet,8/31/2013,7:20 PM,Park,Monaco Pkwy & E Cedar Ave,Denver,CO,80224,Denver,494628,,,,,,Unknown,,,,,,Male,,,,,,Unknown,,,,,,Male,,,Hispanic,,,,,,30-39,,,Van,,Silver,,Ran Away,,0,0,0,0,-1,None
Attempted Abduction,1246747,Closed,Internet,4/8/2015,3:23 PM,Street,Monroe Ave,McAlester,OK,,Pittsburg,530632,,,,,,Unknown,,,,,,Male,,,,,,8,,,,,,Male,,,Hispanic,,,,,,Unknown,,,Truck,,White,,Adult/Child Intervened,Suspect drove off,0,0,0,-1,0,
Attempted Abduction,1245302,Closed,Internet,3/11/2015,8:30 PM,Home - Residence,Monroe Ave & S Bedford Ave,Evansville,IN,47713,Vanderburgh,528354,,,,,,Unknown,,,,,,Male,,,,,,13,,,,,,Male,,,White,,,66,,,,,,,,,,Ignored/Refused,,0,0,0,0,-1,Directions; Shake hands
Attempted Abduction,1255687,Closed,Internet,10/1/2015,5:00 PM,Gov't Facility,Montague Village,Fort Hood,TX,76544,Bell,544906,,,,,,Unknown,,,,,,Unknown,,,,,,Unknown,,,,,,Male,,,Unknown,,,,,,30-40,,,Van,,White,,Unknown,,0,0,0,0,-1,Unknown
Attempted Abduction,1188227,Closed,Internet,1/21/2012,12:00 AM,Street,Monterey Dr,Madison,WI,53704,Dane,456329,,,,,,Unknown,,,,,,Male,,,,,,14,,,,,,Male,,,Black,,,,,,20-30,,,"Sedan, 4 door",,Green,,Ignored/Refused,,0,0,0,0,-1,Waved
Attempted Abduction,1238639,Closed,Internet,8/26/2014,7:46 AM,Street,Monterey Rd & Brighton Crt,Poinciana,FL,34758,Osceola,518335,,,,,,Unknown,,,,,,Female,,,,,,12,,,,,,Male,,,White,,,40,,,,,,,,Green,,Unknown,,0,0,0,0,-1,None
Attempted Abduction,1197704,Closed,Internet,6/9/2012,3:00 AM,Home - Residence,Montgomery St & SE 2nd St,Milford,DE,19963,Sussex,466699,,,,,,Unknown,,,,,,Unknown,,,,,,3,,,,,,Male,,,Hispanic,,,18,,,,,,,,,,Adult/Child Intervened,,0,0,0,0,-1,None
Attempted Abduction,1188432,Closed,Internet,1/24/2012,6:50 AM,Street,Morris Ave,Elwood,NY,11743,Suffolk,456573,,,,,,Unknown,,,,,,Female,,,,,,13,,,,,,Male,,,Unknown,,,,,,20-30,,,,,,,Fought/Broke Free,,0,0,0,0,-1,None
Attempted Abduction,1219251,Closed,Internet,6/20/2012,12:00 AM,Street,Morrison Rd & S Perry St,Denver,CO,80219,Denver,490848,,,,,,Unknown,,,,,,Female,,,,,,13,,,,,,Male,,,White,,,50,,,,,,Pickup Truck,,,,Fought/Broke Free,,0,0,0,0,-1,None
Attempted Abduction,1242449,Closed,Internet,12/19/2014,12:00 AM,Street,Morse Rd & Maize Rd,Columbus,OH,43224,Franklin,524009,,,,,,Unknown,,,,,,Male,,,,,,13,,,,,,Male,Male,,Unknown,Black,,,,,Unknown,30-35,,Van,,White,,Ran Away,,0,0,0,-1,0,
Attempted Abduction,1273751,Closed,Internet,8/1/2016,9:30 AM,Park,Mott Ave,Far Rockaway,NY,11691,Queens,570330,,,,,,Unknown,,,,,,Female,,,,,,4,,,,,,Female,,,Unknown,,,41,,,,,,,,,,Adult/Child Intervened,,0,-1,0,0,0,
Attempted Abduction,1245476,Closed,Internet,3/14/2015,2:00 PM,Street,Mott Ave & Bay 24th St,Queens,NY,11691,New York,528674,,,,,,Unknown,,,,,,Male,,,,,,11,,,,,,Male,,,Black,,,,,,Unknown,,,"Sedan, 2 door",,,,Ran Away,,0,0,0,0,-1,None
Attempted Abduction,1246934,Closed,Internet,3/16/2015,12:00 AM,Street,Mt Conness Way,Antioch,CA,94531,Contra Costa,530928,,,,,,Unknown,,,,,,Female,,,,,,16,,,,,,Male,,,Black,,,21,,,,,,"Sedan, 4 door",,White,,Ran Away,,0,0,0,-1,0,
Attempted Abduction,1269266,Closed,Internet,5/20/2016,5:00 PM,Street,Mt. Carmel Dr & Padre Tullio Dr,San Diego,CA,92173,San Diego,564105,,,,,,Unknown,,,,,,Female,,,,,,15,,,,,,Male,,,Hispanic,,,,,,35-40,,,"Sedan, 4 door",,Red,,Fought/Broke Free,,0,0,0,0,-1,None
Attempted Abduction,1250713,Closed,Internet,6/27/2015,12:00 AM,Home - Residence,Munson St,Denison,TX,75020,Grayson,536998,,,,,,Unknown,,,,,,Unknown,,,,,,Unknown,,,,,,Male,,,White,,,78,,,,,,,,,,Adult/Child Intervened,,0,0,0,0,-1,Question
Attempted Abduction,1190157,Closed,Internet,3/1/2012,2:20 PM,Street,Muscatine Ave & Dover St,Iowa City,IA,52245,Johnson,458469,,,,,,Unknown,,,,,,Male,,,,,,Unknown,,,,,,Male,,,Black,,,,,,50,,,,,White,,Ignored/Refused,Ran Away,0,0,0,0,-1,Come over
Attempted Abduction,1248984,Closed,Internet,4/30/2015,7:30 AM,Street,Mustang Ave & Horace Mann Ave,Rosenberg,TX,77471,Fort Bend,534315,,,,,,Unknown,,,,,,Unknown,,,,,,Unknown,,,,,,Male,,,White,,,34,,,,,,Pickup Truck,,,,Other,Walked away,0,0,0,0,-1,Directions
Attempted Abduction,1250703,Closed,Internet,6/23/2015,7:00 PM,Street,Myrtle St NW & Escott Ave NW,Grand Rapids,MI,49504,Kent,536980,,,,,,Unknown,,,,,,Unknown,,,,,,Unknown,,,,,,Male,,,White,,,,,,Unknown,,,,,,,Unknown,,0,0,0,0,-1,None
Attempted Abduction,1253333,Closed,Internet,8/14/2015,12:00 AM,Street,N 108th St & Old Maple Rd,Omaha,NE,68134,Douglas,541435,,,,,,Unknown,,,,,,Unknown,,,,,,Unknown,,,,,,Male,,,White,,,,,,60-69,,,Van,,White,,Ran Away,,0,0,0,0,-1,Waved
Attempted Abduction,1269986,Closed,Internet,6/3/2016,2:00 PM,Street,N 11th St,Indiana,PA,15701,Indiana,565043,,,,,,Unknown,,,,,,Female,,,,,,11,,,,,,Male,,,White,,,39,,,,,,"Sedan, 4 door",,Black,,Other,Walked away; Called 911,0,0,0,0,-1,Questions
Attempted Abduction,1272416,Closed,Internet,7/7/2016,1:30 PM,Street,N 12th St,Lebanon,PA,17046,Lebanon,568478,,,,,,Unknown,,,,,,Female,,,,,,10,,,,,,Male,,,Hispanic,,,62,,,,,,,,,,Ran Away,Fought; Screamed,0,0,-1,0,0,
Attempted Abduction,1267195,Closed,Internet,4/23/2016,12:00 AM,Street,N 143rd St E & E 13th St N,Wichita,KS,67230,Sedgwick,561110,,,,,,Unknown,,,,,,Male,,,,,,10,,,,,,Male,,,White,,,,,,Unknown,,,Van,,Black,,Ignored/Refused,,0,0,0,0,-1,None
Attempted Abduction,1244409,Closed,Internet,2/16/2015,2:00 PM,Street,N 22nd St & E Nedro Rd,Tampa,FL,33604,Hillsborough,526923,,,,,,Hispanic,,,,,,Female,,,,,,42893,,,,,,Male,,,White,,,,,,40-50,,,,,,,Adult/Child Intervened,,0,0,0,0,-1,Waived
Attempted Abduction,1250239,Closed,Internet,6/15/2015,12:00 AM,Office Bldg,N 25th St,Louisville,KY,40212,Jefferson,536272,,,,,,Unknown,,,,,,Female,,,,,,4,,,,,,Female,,,White,,,38,,,,,,,,,,Adult/Child Intervened,,0,0,0,0,-1,None
Attempted Abduction,1271349,Closed,Internet,6/15/2016,12:00 AM,Home - Residence,N 25th St,Louisville,KY,40212,Jefferson,566994,,,,,,Unknown,,,,,,Unknown,,,,,,Unknown,,,,,,Female,,,White,,,38,,,,,,,,,,Adult/Child Intervened,,0,0,0,0,-1,None
Attempted Abduction,1252512,Closed,Internet,7/29/2015,12:00 AM,Retail - Other,N 27th Ave & W Van Buren St,Phoenix,AZ,85009,Maricopa,540177,,,,,,Unknown,,,,,,Unknown,,,,,,Unknown,,,,,,Male,,,Black,,,41,,,,,,,,,,Adult/Child Intervened,,0,0,0,0,-1,None
Attempted Abduction,1216092,Closed,Internet,4/29/2013,2:40 PM,Street,N 28th St & Willoughby Ave,Las Vegas,NV,89101,Clark,487174,,,,,,Unknown,,,,,,Female,,,,,,15,,,,,,Male,,,Hispanic,,,,,,30-39,,,Station Wagon,,"Blue, Dark",,Fought/Broke Free,,0,0,0,0,-1,None
Attempted Abduction,1277354,Closed,Internet,9/22/2016,7:45 PM,Street,N 2nd St & E Dewey St,Platteville,WI,53818,Grant,575258,,,,,,Unknown,,,,,,Male,,,,,,Unknown,,,,,,Male,,,White,,,,,,30-39,,,,,,,Unknown,,0,0,0,0,-1,None
Attempted Abduction,1278836,Closed,Internet,10/10/2016,3:30 PM,Street,N 35th St & Ave B,Council Bluffs,IA,51501,Pottawattamie,577188,,,,,,Unknown,,,,,,Female,,,,,,11,,,,,,Male,,,White,,,,,,50-60,,,"Sedan, 4 door",,White,,Ran Away,,0,0,0,0,-1,Conversation
Attempted Abduction,1186795,Closed,Internet,1/3/2012,7:45 AM,Street,N 40th St & E Palm St,Phoenix,AZ,85008,Maricopa,454741,,,,,,Unknown,,,,,,Female,,,,,,11,,,,,,Male,,,Hispanic,,,,,,20-29,,,,,,,Fought/Broke Free,Ran Away,0,0,0,0,-1,None
Attempted Abduction,1254936,Closed,Internet,9/7/2015,12:00 AM,Street,N 42nd St & Albany Ave,Superior,WI,54880,Douglas,543869,,,,,,Unknown,,,,,,Female,,,,,,7,,,,,,Male,,,Unknown,,,,,,Unknown,,,,,,,Released,,0,0,0,0,-1,None
Attempted Abduction,1253875,Closed,Internet,8/27/2015,12:00 AM,School - Bus Stop,N 43rd St,Muskogee,OK,74401,Muskogee,542284,,,,,,Unknown,,,,,,Male,,,,,,12,,,,,,Male,,,white,,,,,,Unknown,,,,,Maroon,,Ran Away,,0,-1,0,0,0,
Attempted Abduction,1253604,Closed,Internet,8/25/2015,4:30 PM,Street,N 48th St & Grant St,Omaha,NE,68104,Douglas,541854,,,,,,Unknown,,,,,,Female,,,,,,7,,,,,,Male,,,Unknown,,,,,,Unknown,,,Van,,Red,,Ignored/Refused,Ran away,0,-1,0,0,0,
Attempted Abduction,1257296,Closed,Internet,10/30/2015,12:00 AM,Street,N 56th St & E Pinnacle Vista Dr,Scottsdale,AZ,85266,Maricopa,547038,,,,,,Unknown,,,,,,Female,,,,,,13,,,,,,Male,,,Unknown,,,,,,Unknown,,,Truck,,Red,,Unknown,,0,0,0,-1,0,Conversation
Attempted Abduction,1244803,Closed,Internet,2/15/2015,12:00 AM,Street,N 5th St & E Hunnicutt St,Baytown,TX,77520,Harris,527569,,,,,,Unknown,,,,,,Male,,,,,,14,,,,,,Male,,,Unknown,,,,,,30-50,,,Van,,Black,,Fought/Broke Free,,0,0,0,0,-1,None
Attempted Abduction,1276868,Closed,Internet,9/12/2016,11:50 AM,Retail - Mall/ Shop Ctr,N 5th St Hwy,Muhlenberg Township,PA,19560,Berks,574609,,,,,,Unknown,,,,,,Female,,,,,,Unknown,,,,,,Male,,,White,,,,,,Unknown,,,,,,,Unknown,,0,0,0,0,-1,Question; Help
Attempted Abduction,1280409,Closed,Internet,10/25/2016,6:30 PM,Street,N 7th St & Park Ave,Seward,NE,68434,Seward,579320,,,,,,Unknown,,,,,,Male,,,,,,10,,,,,,Male,,,White,,,,,,20-29,,,Pickup Truck,,Red,,Fought/Broke Free,Ran away,0,0,0,0,-1,None
Attempted Abduction,1278824,Closed,Internet,10/9/2016,4:00 PM,Playgrnd,N 9th St,Canon Falls,MN,55009,Goodhue,577163,,,,,,Unknown,,,,,,Female,,,,,,10,,,,,,Male,,,White,,,,,,20-25,,,,,,,Fought/Broke Free,,0,0,0,0,-1,None
Attempted Abduction,1189785,Closed,Internet,2/21/2012,12:00 AM,School - Facility,N 9th St - Washington ES,Allentown,PA,18102,Lehigh,458052,,,,,,Unknown,,,,,,Female,,,,,,10,,,,,,Male,,,White,,,,,,30-40,,,,,,,Ran Away,,0,0,0,0,-1,Parent Sent
Attempted Abduction,1253685,Closed,Internet,8/25/2015,7:00 PM,Street,N 9th St & Adams St,Lincoln,NE,68521,Lancaster,541970,,,,,,Unknown,,,,,,Male,,,,,,11,,,,,,Male,,,Unknown,,,,,,Unknown,,,,,Silver,,Ran Away,,0,0,0,-1,0,
Attempted Abduction,1254581,Closed,Internet,9/11/2015,6:00 PM,Street,N Albany Ave & W Goshen Dr,Tucson,AZ,85741,Pima,543356,,,,,,Unknown,,,,,,Male,,,,,,10,,,,,,Male,,,Hispanic,,,,,,40-49,,,Pickup Truck,,White,,Ran Away,,0,0,0,0,-1,None
Attempted Abduction,1245602,Closed,Internet,3/11/2015,12:00 AM,Street,N Angus St & E Yale Ave,Fresno,CA,93703,Fresno,528854,,,,,,Unknown,,,,,,Unknown,,,,,,Unknown,,,,,,Male,,,White,,,52,,,,,,Van,,,,Unknown,,0,0,0,0,-1,Conversation; Snacks
Attempted Abduction,1192623,Closed,Internet,3/30/2012,7:45 AM,Street,N Arch St & E Schoolside Dr,Mechanicsburg,PA,17055,Cumberland,461159,,,,,,Unknown,,,,,,Female,,,,,,7,,,,,,Male,,,Black,,,,,,20-39,,,,,Red,,Unknown,,0,0,0,0,-1,Unknown
Attempted Abduction,1221487,Closed,Internet,8/7/2013,9:00 AM,Street,N Avalon Blvd & E L St,Wilmington,CA,90744,Los Angeles,493523,,,,,,Unknown,,,,,,Female,,,,,,11,,,,,,Male,,,Hispanic,,,,,,50,,,"Sedan, 2 door",,White,,Fought/Broke Free,,0,0,0,0,-1,None
Attempted Abduction,1252571,Closed,Internet,8/4/2015,8:00 AM,School - Bus Stop,N Bald Eagle Ave & W Overton Rd,Tucson,AZ,85742,Pima,540284,,,,,,Unknown,,,,,,Female,,,,,,12,,,,,,Male,,,Hispanic,,,,,,Unknown,,,,,,,Ran Away,,0,0,0,0,-1,None
Attempted Abduction,1244868,Closed,Internet,2/27/2015,3:40 PM,Home - Residence,N Bluff St & 1st Ave,Albany,IL,61230,Whiteside,527655,,,,,,Unknown,,,,,,Male,,,,,,6,,,,,,Male,Female,,Black,White,,,,,Unknown,Unknown,,Truck,,Red,,Ran Away,,0,0,0,0,-1,Questions
Attempted Abduction,1241613,Closed,Internet,12/12/2014,8:30 AM,School - Bus Stop,N Broad St & Third Ave,Suffolk,VA,23434,Suffolk,522814,,,,,,Unknown,,,,,,Male,,,,,,4,,,,,,Male,,,Black,,,,,,30-40,,,,,,,Other,The suspect ran away,0,0,0,0,-1,None
Attempted Abduction,1277312,Closed,Internet,9/20/2016,5:00 PM,Street,N Catherine Ave & W Woodlawn Ave,La Grange Park,IL,60526,Cook,575207,,,,,,Unknown,,,,,,Female,,,,,,15,,,,,,Male,,,White,,,,,,Unknown,,,Sport Utility,,Dark,,Ignored/Refused,,0,0,0,0,-1,Question
Attempted Abduction,1246342,Closed,Internet,3/24/2015,1:30 PM,Street,N Charbary Dr & W Empire Blvd,San Tan Valley,AZ,85143,Pinal,529896,,,,,,Unknown,,,,,,Female,,,,,,10,,,,,,Male,,,White,,,,,,Unknown,,,Sport Utility,,Red,,Adult/Child Intervened,The child also ran home,0,-1,-1,-1,0,
Attempted Abduction,1282239,Closed,Internet,10/19/2016,7:55 AM,Street,N Cicero Ave,Chicago,IL,60638,Cook,581650,,,,,,Unknown,,,,,,Female,,,,,,9,,,,,,Male,,,Black,,,,,,30-40,,,"Sedan, 4 door",,White,,Ran Away,,0,0,0,0,-1,None
Attempted Abduction,1239131,Closed,Internet,9/30/2014,6:30 PM,Street,N Cicero St & W Henderson St,Chicago,IL,60641,Cook,519095,,,,,,Unknown,,,,,,Female,,,,,,Unknown,,,,,,Male,,,White,,,,,,40-45,,,"Sedan, 4 door",,Black,,Ran Away,,0,0,0,0,-1,Conversation
Attempted Abduction,1259010,Closed,Internet,12/6/2015,6:00 PM,Street,N Cleveland Ave & New Hope Ln,Winston-Salem,NC,27105,Forsyth,549472,,,,,,Unknown,,,,,,Female,,,,,,5,,,,,,Male,,,Black,,,24,,,,,,,,Black,,Adult/Child Intervened,,0,0,0,0,-1,None
Attempted Abduction,1263490,Closed,Internet,2/25/2016,4:00 PM,Outdoor - Open Area,N Dallas St,Van Alstyne,TX,75495,Grayson,555903,,,,,,Unknown,,,,,,Female,,,,,,8,,,,,,Male,,,White,,,,,,Unknown,,,Van,,White,,Ran Away,Adult intervened,0,0,0,0,-1,None
Attempted Abduction,1254794,Closed,Internet,9/14/2015,5:50 AM,School - Bus Stop,N Doverplum Ave & San Remo Rd,Poinciana,FL,34758,Osceola,543659,,,,,,Unknown,,,,,,Female,,,,,,15,,,,,,Male,,,Black,,,,,,30-39,,,,,,,Ran Away,,0,0,0,0,-1,Compliment
Attempted Abduction,1191325,Closed,Internet,3/22/2012,7:55 AM,Street,N El Paso St & E Columbia St,Colorado Springs,CO,80907,El Paso,459759,,,,,,White,,,,,,Female,,,,,,Unknown,,,,,,Male,,,Black,,,,,,40-49,,,Van,,Silver,,Ignored/Refused,Called Parent,0,0,0,-1,0,
Attempted Abduction,1230371,Closed,Internet,3/31/2014,3:45 PM,Street,N Elias St,Wales,WI,53183,Waukesha,506220,,,,,,Unknown,,,,,,Female,,,,,,14,,,,,,Male,,,White,,,,,,20,,,,,,,Unknown,,0,0,0,0,-1,Unknown
Attempted Abduction,1275113,Closed,Internet,8/18/2016,6:30 AM,Street,N Florida Ave & E 131st Ave,Tampa,FL,33612,Hillsborough,572238,,,,,,Unknown,,,,,,Unknown,,,,,,Unknown,,,,,,Male,,,White,,,58,,,,,,,,,,Unknown,,0,0,0,0,-1,None
Attempted Abduction,1253348,Closed,Internet,8/17/2015,12:00 PM,Street,N Goddard Creek Way & W Ditch Creek Dr,Meridian,ID,83646,Ventura,541456,,,,,,Unknown,,,,,,Male,,,,,,14,,,,,,Male,,,White,,,,,,50-69,,,Sport Utility,,Black,,Other,The suspect drove away,0,0,0,-1,0,
Attempted Abduction,1200230,Closed,Internet,8/2/2012,3:30 PM,Street,N Hickory St & Bellefontaine St,Champaign,IL,61820,Champaign,469463,,,,,,Unknown,,,,,,Female,,,,,,12,,,,,,Male,,,Black,,,53,,,,,,,,,,Ran Away,,0,0,-1,0,0,
Attempted Abduction,1226738,Closed,Internet,12/18/2013,8:00 AM,Street,N Las Vegas Blvd & N Pecos Rd,North Las Vegas,NV,89115,Clark,500875,,,,,,Unknown,,,,,,Female,,,,,,12,,,,,,Male,Male,,Hispanic,Hispanic,,,,,Unknown,30-39,,Van,,Maroon,,Ran Away,,0,0,0,0,-1,None
Attempted Abduction,1226241,Closed,Internet,11/22/2013,2:15 PM,Street,N Lombard St & N Van Houten Ave,Portland,OR,97203,Multnomah,500160,,,,,,Unknown,,,,,,Female,,,,,,12,,,,,,Male,,,Hispanic,,,,,,32-36,,,,,,,Ran Away,,0,0,0,0,-1,Directions
Attempted Abduction,1224966,Closed,Internet,11/1/2013,3:15 PM,Street,N Monroe St & Sheridan Terr,Ridgewood,NJ,7450,Bergen,498306,,,,,,Unknown,,,,,,Female,,,,,,Unknown,,,,,,Male,,,White,,,,,,50-69,,,,,,,Fought/Broke Free,,0,0,0,0,-1,None
Attempted Abduction,1242745,Closed,Internet,1/12/2015,3:52 PM,Street,N Motsenbocker Rd & Vineland Dr,Parker,CO,80134,Douglas,524457,,,,,,Unknown,,,,,,Female,,,,,,Unknown,,,,,,Male,Male,,Hispanic,Black,,,,,Unknown,Unknown,,Truck,,Black,,Other,The child screamed while stepping back to avoid being grabbed by the suspect,0,0,0,0,-1,None
Attempted Abduction,1276995,Closed,Internet,9/14/2016,7:00 AM,School - Bus Stop,N Norrie Dr & E Ryan Ave,Kingman,AZ,86409,Mojave,574802,,,,,,Unknown,,,,,,Male,,,,,,11,,,,,,Male,,,White,,,,,,50-59,,,,,White,,Unknown,,0,0,0,0,-1,Questions
Attempted Abduction,1217428,Closed,Internet,5/27/2013,7:00 PM,Street,N Norwood Ave & E 19th St,Pueblo,CO,81001,Pueblo,488696,,,,,,Unknown,,,,,,Female,,,,,,13,,,,,,Male,,,Hispanic,,,,,,30-39,,,Pickup Truck,Pickup Truck,Silver,,Ran Away,,0,0,0,0,-1,Questions
Attempted Abduction,1270744,Closed,Internet,6/3/2016,8:30 PM,Street,N Oak St,Ukiah,CA,95482,Mendocino,566117,,,,,,Unknown,,,,,,Female,,,,,,14,,,,,,Male,,,Hispanic,,,,,,25-35,,,,,Red,,Ignored/Refused,,0,0,0,-1,-1,Question
Attempted Abduction,1257307,Closed,Internet,11/1/2015,8:00 PM,Home - Residence,N Pearson Ln,Southlake,TX,76092,Tarrant,547054,,,,,,Unknown,,,,,,Female,,,,,,16,,,,,,Male,,,White,,,,,,Unknown,,,,,White,,Fought/Broke Free,Ran home,0,0,0,0,-1,None
Attempted Abduction,1287243,Closed,Internet,12/16/2016,7:10 PM,Street,N Pennsylvania Ave,Wilkes-Barre,PA,18702,Luzerne,588174,,,,,,White,,,,,,Female,,,,,,14,,,,,,Male,,,Unknown,,,,,,Unknown,,,,,Silver,,Fought/Broke Free,,0,0,0,0,-1,None
Attempted Abduction,1212234,Closed,Internet,3/11/2013,7:29 PM,Street,N Pond Street & Beech Street,Bristol,CT,6010,Hartford,482755,,,,,,Unknown,,,,,,Male,,,,,,9,,,,,,Male,,,Black,,,,,,Unknown,,,Van,,,,Ran Away,,0,0,0,0,-1,
Attempted Abduction,1245482,Closed,Internet,3/9/2015,4:00 PM,Street,N Portland Ave & Myrtle Ave,Brooklyn,NY,11205,New York,528682,,,,,,Unknown,,,,,,Female,,,,,,10,,,,,,Male,,,Unknown,,,,,,Unknown,,,Sport Utility,,,,Ran Away,,0,0,0,0,-1,None
Attempted Abduction,1218136,Closed,Internet,5/31/2013,7:30 PM,Home - Residence,N Powers Blvd & Carefree Cir S,Colorado Springs,CO,80922,El Paso,489546,,,,,,Unknown,,,,,,Female,,,,,,9,,,,,,Male,,,White,,,,,,13-19,,,,,,,Fought/Broke Free,,0,0,0,0,-1,None
Attempted Abduction,1277095,Closed,Internet,9/12/2016,7:00 AM,Street,N Ridgewood Ave & Warwick Ave,Ormond Beach,FL,32174,Volusia,574928,,,,,,Unknown,,,,,,Male,,,,,,Unknown,,,,,,Male,,,White,,,,,,40-45,,,Truck,,"Blue, Light",,Ignored/Refused,,0,0,0,0,-1,None
Attempted Abduction,1270966,Closed,Internet,6/13/2016,12:00 AM,Street,N Sherman Blvd & Silver Spring Rd,Milwaukee,WI,53209,Milwaukee,566463,,,,,,Unknown,,,,,,Female,,,,,,15,,,,,,Male,,,Unknown,,,,,,Unknown,,,,,,,Adult/Child Intervened,,0,0,0,0,-1,None
Attempted Abduction,1269708,Closed,Internet,5/28/2016,7:00 PM,Retail - Other,N Shiawassee St & M-21,Owosso,MI,48817,Shiawassee,564687,,,,,,Unknown,,,,,,Male,,,,,,Unknown,,,,,,Male,,,White,,,,,,Unknown,,,,,,,Other,Subject left the store,0,0,0,0,-1,Toy
