"[38.7415569, -90.3418927]",,1188923
"[30.1261952, -95.46729619999999]",,1192820
"[40.1012856, -75.3835525]",,1204804
"[37.3304014, -121.8391808]",,1212908
"[33.449373, -86.8671989]",,1217921
"[34.1650972, -84.7999382]",,1221151
"[27.3364347, -82.53065269999999]",,1230726
"[34.4734741, -97.9157099]",,1238449
"[29.6485801, -81.6375819]",,1241624
"[38.9803309, -84.6583745]",,1241748
"[33.8640647, -118.1766294]",,1242299
"[40.1466169, -97.1798456]",,1262987
"[26.0898957, -80.1819268]",,1263419
"[42.42907719999999, -82.97703709999999]",,1270365
"[37.7071863, -97.4327273]",,1281896
"[29.73754379999999, -95.5249863]",,1187295
"[33.7724417, -84.3279093]",,1207257
"[33.6600847, -101.2379276]",,1208747
"[37.294172, -93.29861059999999]",,1211666
"[33.6134652, -84.38574419999999]",,1216380
"[35.9556923, -80.0053176]",,1222021
"[34.81516330000001, -79.18309099999999]",,1226747
"[35.9489566, -85.0269014]",,1232087
"[42.2222614, -83.39659940000001]",,1248370
"[26.1003654, -80.3997748]",,1257200
"[34.0149091, -118.1064156]",,1260666
"[48.1130741, -105.1983148]",,1266643
"[34.0795169, -118.1766294]",,1269482
"[47.4941836, -111.2833449]",,1274537
"[30.34132, -95.0854885]",,1191560
"[42.30063570000001, -71.3842384]",,1193809
"[38.767401, -90.44080369999999]",,1194432
"[35.5103197, -97.36786239999999]",,1196350
"[33.9167378, -118.1298234]",,1201527
"[38.8338816, -104.8213634]",,1207886
"[26.4185248, -81.4174057]",,1209035
"[41.8205199, -71.51261699999999]",,1221012
"[27.9565429, -82.4265217]",,1221144
"[38.8817784, -78.50584289999999]",,1223225
"[43.77488959999999, -85.50471329999999]",,1223843
"[42.1179087, -83.6135572]",,1224580
"[39.9938284, -75.1399443]",,1226499
"[32.977839, -111.517624]",,1231533
"[26.7712632, -80.0702555]",,1232016
"[39.9583587, -75.1953934]",,1232026
"[26.438136, -81.8067523]",,1234229
"[37.4529773, -85.6687908]",,1237329
"[36.3320196, -94.1185366]",,1241719
"[39.8995444, -76.6402452]",,1245728
"[33.655501, -101.7751709]",,1246525
"[36.8840099, -85.7024557]",,1248658
"[42.2473619, -89.0800227]",,1254919
"[41.4619659, -80.8684712]",,1255486
"[35.4825955, -88.73977719999999]",,1260997
"[36.424687, -121.3263187]",,1266279
"[37.6843628, -97.332753]",,1267815
"[37.8113159, -122.2682245]",,1269821
"[29.7335616, -95.23021229999999]",,1271963
"[35.8837599, -77.85959629999999]",,1277597
"[37.68717609999999, -97.33005299999999]",,1283232
"[34.6182199, -79.0086424]",,1190506
"[38.6160491, -90.2291565]",,1193101
"[39.1847339, -93.87994259999999]",,1198498
"[35.9189632, -92.3271013]",,1202433
"[41.1828353, -80.76535799999999]",,1204151
"[33.6447519, -117.6845508]",,1208058
"[25.8909628, -80.1819268]",,1210258
"[40.3158515, -78.87789459999999]",,1227501
"[36.2027308, -120.1029177]",,1231451
"[35.9489566, -85.0269014]",,1232087
"[60.55444439999999, -151.2583333]",,1233276
"[42.7249282, -110.9318687]",,1235685
"[39.3391712, -94.22605589999999]",,1237045
"[44.3106241, -69.7794897]",,1278220
"[26.142147, -80.1763467]",,1280962
"[32.4206736, -104.2288375]",,1190117
"[36.3158994, -91.48263879999999]",,1191437
"[43.0499798, -87.962884]",,1212871
"[35.9657059, -78.8042828]",,1219967
"[38.6533445, -94.3488372]",,1234835
"[30.4582829, -91.1403196]",,1241869
"[33.8732279, -78.6141798]",,1241991
"[41.48754, -82.1015369]",,1251989
"[32.7198551, -117.1600022]",,1254435
"[42.3612206, -82.98778659999999]",,1262966
"[48.0905736, -105.6405566]",,1263413
"[28.0394654, -81.9498042]",,1278562
"[39.9226914, -75.23040379999999]",,1193114
"[40.8887394, -73.8477874]",,1197880
"[44.7255821, -92.6785092]",,1198002
"[41.7458012, -87.60876379999999]",,1199097
"[43.0984101, -79.0334288]",,1201418
"[25.9003878, -80.1484407]",,1203415
"[36.7569994, -90.392888]",,1204922
"[25.8909628, -80.1819268]",,1210258
"[38.4929881, -121.3884671]",,1212953
"[39.2015955, -94.53150289999999]",,1213619
"[35.9216748, -81.17688129999999]",,1233353
"[42.9708634, -82.42491419999999]",,1235022
"[32.144316, -85.7149495]",,1245608
"[36.7138368, -112.2168982]",,1252669
"[35.8940263, -80.5614494]",,1253413
"[40.6084305, -75.4901833]",,1260316
"[47.4875361, -94.8858492]",,1270879
"[45.3152415, -94.40860289999999]",,1275027
"[37.9287494, -77.4558151]",,1284935
"[43.4304646, -83.96384259999999]",,1188523
"[32.2686981, -107.7586404]",,1190242
"[40.2539287, -91.9907307]",,1191586
"[32.2107257, -110.8850949]",,1193092
"[33.7986156, -118.2150663]",,1196384
"[36.7486376, -119.7078532]",,1198730
"[32.8281868, -88.4764273]",,1215022
"[39.8128547, -79.3567015]",,1215236
"[29.8699332, -90.0653341]",,1219378
"[39.0520169, -82.6365536]",,1220072
"[38.5686223, -92.2433487]",,1226663
"[35.9489566, -85.0269014]",,1232087
"[47.5978732, -122.6295847]",,1236032
"[37.28566319999999, -121.8277925]",,1237481
"[34.4734741, -97.9157099]",,1238449
"[27.8005828, -97.39638099999999]",,1244490
"[29.7604267, -95.3698028]",,1255938
"[39.0286093, -96.83139779999999]",,1268704
"[29.2877469, -97.15193099999999]",,1270521
"[34.2257255, -77.9447102]",,1276757
"[30.0996471, -91.9901206]",,1276967
"[38.4494063, -105.2253316]",,1197266
"[29.8963788, -95.16406049999999]",,1198224
"[35.6217359, -86.592495]",,1203253
"[35.3255608, -112.8774057]",,1208583
"[38.6940006, -121.3026883]",,1209946
"[38.8897896, -76.97188059999999]",,1218976
"[41.63336779999999, -87.6331021]",,1220243
"[32.2732024, -89.9859158]",,1224855
"[37.7554905, -122.1462193]",,1232154
"[44.1828405, -75.070196]",,1236489
"[34.1742611, -97.14362539999999]",,1240220
"[27.7522487, -98.0697249]",,1251170
"[31.6315626, -93.6440698]",,1260302
"[35.2219971, -101.8312969]",,1272811
"[37.68717609999999, -97.33005299999999]",,1283232
"[42.1112958, -88.0607565]",,1189325
"[33.7986156, -118.2150663]",,1196385
"[42.4742493, -92.2876645]",,1198726
"[30.6389408, -87.3413599]",,1216159
"[30.4686832, -81.6692532]",,1218200
"[40.6936488, -89.5889864]",,1221229
"[41.1024994, -85.1220031]",,1221397
"[26.7152999, -80.1037721]",,1225118
"[25.8909628, -80.1819268]",,1232076
"[35.0771847, -114.5599015]",,1237246
"[42.0341144, -87.759112]",,1238311
"[30.2821807, -82.12205689999999]",,1239607
"[38.24935809999999, -122.0399663]",,1247042
"[43.1197084, -79.0306032]",,1250223
"[36.9741171, -122.0307963]",,1252041
"[32.5232053, -92.63792699999999]",,1256772
"[30.0435239, -94.27436279999999]",,1260992
"[34.4734741, -97.9157099]",,1270170
"[37.68717609999999, -97.33005299999999]",,1283232
"[38.2544472, -104.6091409]",,1187645
"[33.8806897, -84.5064881]",,1188520
"[43.4304646, -83.96384259999999]",,1188523
"[29.6338457, -95.65631189999999]",,1194166
"[33.8065036, -118.1912538]",,1195358
"[40.6385229, -74.0153231]",,1202265
"[35.6217359, -86.592495]",,1203253
"[38.9638553, -112.3397377]",,1206938
"[41.6008681, -87.60698939999999]",,1207269
"[33.2467807, -84.2640904]",,1208005
"[43.0499798, -87.962884]",,1212871
"[38.9713832, -122.6616518]",,1215793
"[39.0992752, -76.8483061]",,1215947
"[40.255136, -76.857682]",,1219607
"[34.0397162, -117.7549295]",,1224490
"[30.2944269, -97.6222665]",,1224877
"[34.7464809, -92.28959479999999]",,1227858
"[38.992935, -94.55212739999999]",,1228579
"[28.0307138, -82.3994214]",,1232347
"[35.7655407, -81.32893969999999]",,1232707
"[43.106456, -76.21770459999999]",,1232712
"[38.9713832, -122.6616518]",,1232944
"[30.2949457, -82.98402000000002]",,1236452
"[43.0347491, -83.5180063]",,1250913
"[39.0839981, -76.7002462]",,1252694
"[39.9600168, -75.22748659999999]",,1261830
"[26.5101373, -81.9425701]",,1269206
"[32.7766642, -96.79698789999999]",,1273777
"[39.201384, -76.83749949999999]",,1274262
"[33.3951613, -111.7018452]",,1278620
"[45.4888208, -87.9963408]",,1192068
"[40.7875862, -74.2180643]",,1193039
"[32.590481, -83.624201]",,1194231
"[34.2037124, -118.4571974]",,1197557
"[42.4742493, -92.2876645]",,1198725
"[39.1501709, -123.2077831]",,1200727
"[39.9863531, -75.1019942]",,1200804
"[64.8377778, -147.7163888]",,1201206
"[41.9024826, -87.7418842]",,1202063
"[44.4208349, -86.14814299999999]",,1203248
"[39.8366528, -105.0372046]",,1203807
"[39.073028, -84.5274616]",,1205487
"[36.19228409999999, -115.1592718]",,1208078
"[39.8420351, -86.0427626]",,1210151
