Case Type,Case Number,Status,Source,Incident Date,Incident Time,Incident Location Type,Incident Location,Incident City,Incident State,Incident Zip,Lat,Lon,Incident County,Child ID 1,Child ID 2,Child ID 3,Child ID 4,Child ID 5,Child ID 6,Child Race 1,Child Race 2,Child Race 3,Child Race 4,Child Race 5,Child Race 6,Child Gender 1,Child Gender 2,Child Gender 3,Child Gender 4,Child Gender 5,Child Gender 6,Child Perceived Age 1,Child Perceived Age 2,Child Perceived Age 3,Child Perceived Age 4,Child Perceived Age 5,Child Perceived Age 6,Offender Gender 1,Offender Gender 2,Offender Gender 3,Offender Race 1,Offender Race 2,Offender Race 3,Offender Age 1,Offender Age 2,Offender Age 3,Offender Perceived Age 1,Offender Perceived Age 2,Offender Perceived Age 3,Vehicle Style 1,Vehicle Style 2,Vehicle Color 1,Vehicle Color 2,How Got Away,How Got Away Detail,Offender Method Animal,Offender Method Candy,Offender Method Money,Offender Method Ride,Offender Method Other,Offender Method Other Detail
Attempted Abduction,1209463,Closed,Internet,2013-01-06,5:00 PM,Retail - Mall/ Shop Ctr,400 Great Mall Dr,Milpitas,CA,95035,37.4194694,-121.8972218,Santa Clara,479620,,,,,,Unknown,,,,,,Male,,,,,,3,,,,,,Male,,,Asian,,,,,,50-60,,,,,,,Adult/Child Intervened,,0,0,0,0,-1,None
Attempted Abduction,1227662,Closed,Internet,2014-01-12,12:00 AM,School - Bus Stop,400 Main St,Worcester,MA,1608,42.264034,-71.8022248,Worcester,502219,,,,,,Unknown,,,,,,Female,,,,,,Unknown,,,,,,Male,,,Hispanic,,,,,,Unknown,,,,,Black,,Ignored/Refused,,0,0,0,0,-1,None
Attempted Abduction,1226232,Closed,Internet,2013-11-06,11:00 AM,Street,400 Militia Dr,Lansdale,PA,19446,40.2573545,-75.3201014,Montgomery,500145,,,,,,Unknown,,,,,,Female,,,,,,11,,,,,,Male,,,White,,,,,,Unknown,,,Sport Utility,,,,Ignored/Refused,,-1,0,0,0,0,
Attempted Abduction,1256254,Closed,Internet,2015-10-06,2:30 PM,Street,400 N Halifax Ave,Daytona Beach,FL,32118,29.2303792,-81.0163246,Volusia,545642,,,,,,White,,,,,,Male,,,,,,10,,,,,,Male,,,Hispanic,,,,,,30-32,,,,,Silver,,Ignored/Refused,,0,0,0,0,-1,Impersonation
Attempted Abduction,1247278,Closed,Internet,2015-04-06,12:00 AM,Street,400 N Michigan Ave,Caldwell,ID,83605,43.6729381,-116.6743185,Canyon,531650,,,,,,Unknown,,,,,,Female,,,,,,15,,,,,,Male,,,Hispanic,,,33,,,,,,,,,,Fought/Broke Free,,0,0,0,0,-1,Hold hand; Kiss
Attempted Abduction,1207484,Closed,Internet,2012-12-07,12:00 AM,Street,400 N Pacific Av,Kelso,WA,98626,46.1473079,-122.9100667,Cowlitz,477416,,,,,,Unknown,,,,,,Female,,,,,,14,,,,,,Male,,,White,,,40,,,,,,,,,,Ran Away,,0,0,0,0,-1,Unknown
Attempted Abduction,1191601,Closed,Internet,2012-03-26,2:30 PM,Home - Residence,400 Newman Dr,Clarksville,TN,37042,36.5702724,-87.4306958,Montgomery,460044,,,,,,Unknown,,,,,,Female,,,,,,9,,,,,,Male,,,White,,,,,,Unknown,,,,,White,,Adult/Child Intervened,,0,0,0,0,-1,Directions
Attempted Abduction,1273837,Closed,Internet,2016-07-28,10:00 PM,Street,400 Oak Alley,Rankin,PA,15104,40.4033163,-79.8676764,Allegheny,570440,,,,,,Unknown,,,,,,Female,,,,,,8,,,,,,Male,,,Black,,,,,,Unknown,,,,,Silver,,Fought/Broke Free,Ran away,0,0,0,0,-1,None
Attempted Abduction,1244039,Closed,Internet,2015-02-04,3:00 PM,Street,400 Park Ave,Dunkirk,NY,14048,42.4835837,-79.3313289,Chautauqua,526363,,,,,,Unknown,,,,,,Female,,,,,,13,,,,,,Male,,,White,,,39,,,,,,,,,,Ignored/Refused,,0,0,-1,-1,0,Conversation
Attempted Abduction,1208876,Closed,Internet,2013-01-03,4:00 PM,Street,400 S 35th St,Tacoma,WA,98418,47.2289414,-122.4362341,Pierce,478982,,,,,,Unknown,,,,,,Female,,,,,,13,,,,,,Male,,,White,,,30,,,,,,,,Beige,,Ran Away,,0,0,-1,-1,0,
Attempted Abduction,1226734,Closed,Internet,2013-12-22,1:00 PM,Street,400 S Valencia,Mesa,AZ,85202,33.4074823,-111.8810615,Maricopa,500866,,,,,,Unknown,,,,,,Female,,,,,,8,,,,,,Male,,,White,,,22,,,,,,,,,,Released,,0,0,0,0,-1,None
Attempted Abduction,1276320,Closed,Internet,2016-09-03,9:50 AM,Street,400 W Clark St,Spencer,WI,54479,44.7575968,-90.3038683,Marathon,573906,,,,,,Unknown,,,,,,Female,,,,,,9,,,,,,Unknown,Male,,Unknown,Unknown,,,,,Unknown,Unknown,,Van,,Blue,,Other,The child rode home on her bike,0,0,0,0,-1,None
Attempted Abduction,1199427,Closed,Internet,2012-06-14,12:00 AM,Street,400 W Division St,Ogden,IA,50212,42.0346039,-94.0319925,Boone,468591,,,,,,Unknown,,,,,,Male,,,,,,9,,,,,,Male,,,Unknown,,,,,,Unknown,,,Van,,White,,Ran Away,,0,0,0,-1,0,
Attempted Abduction,1274000,Closed,Internet,2016-08-03,2:40 PM,Street,400 W Klein St,Seguin,TX,78155,29.5621923,-97.9687614,Guadalupe,570665,,,,,,Unknown,,,,,,Female,,,,,,Unknown,,,,,,Male,,,Hispanic,,,,,,50-69,,,Pickup Truck,,White,,Ignored/Refused,Ran away; Fought/broke free,0,0,0,-1,0,Question
Attempted Abduction,1209466,Closed,Internet,2013-01-18,7:46 AM,Street,400 West 9th St,South Sioux,NE,68776,42.4809945,-96.4250065,Dakota,479623,,,,,,Unknown,,,,,,Unknown,,,,,,Unknown,,,,,,Male,,,Hispanic,,,,,,20-28,,,"Sedan, 4 door",,Brown,,Ran Away,,0,-1,0,0,0,
Attempted Abduction,1248969,Closed,Internet,2015-05-22,1:00 PM,Street,4000 Altoona Dr,Dallas,TX,75233,32.694262,-96.888342,Dallas,534291,,,,,,Unknown,,,,,,Female,,,,,,12,,,,,,Male,,,Black,,,23,,,,,,,,,,Fought/Broke Free,Ran away,0,0,0,0,-1,None
Attempted Abduction,1275784,Closed,Internet,2016-08-26,12:00 AM,Retail - Other,4000 McCain Blvd,North Little Rock,AR,72116,34.7893476,-92.2284247,Pulaski,573192,,,,,,Unknown,,,,,,Female,,,,,,Unknown,,,,,,Male,,,White,,,43,,,,,,,,,,Other,The child reported the incident to her grandmother,0,0,0,0,-1,None
Attempted Abduction,1257778,Closed,Internet,2015-11-06,8:20 AM,Street,4000 W Adams St,Chicago,IL,60624,41.878245,-87.725768,Cook,547721,,,,,,Unknown,,,,,,Female,,,,,,13,,,,,,Male,,,Black,,,,,,35-39,,,,,,,Fought/Broke Free,Ran away,0,0,0,0,-1,None
Attempted Abduction,1240667,Closed,Internet,2014-11-15,12:00 AM,Park,4000 W Hatchery Rd,Eagle,ID,83616,43.6856951,-116.3981686,Ada,521324,,,,,,Unknown,,,,,,Male,,,,,,14,,,,,,Male,,,White,,,,,,30-40,,,Pickup Truck,,Red,,Fought/Broke Free,,0,0,0,-1,0,
Attempted Abduction,1221235,Closed,Internet,2013-07-31,12:00 AM,Retail - Mall/ Shop Ctr,4007 Old Washington Rd,Canonsburg,PA,15317,40.3050447,-80.0953423,Washington,493202,,,,,,Unknown,,,,,,Female,,,,,,17,,,,,,Male,Male,,White,Unknown,,,,,20-29,Unknown,,,,,,Fought/Broke Free,,0,0,0,0,-1,None
Attempted Abduction,1213761,Closed,Internet,2012-10-25,8:30 AM,School - Facility,400Sebastian Blvd,Sebastian,FL,32958,27.804748,-80.476615,Indian River,484524,,,,,,Unknown,,,,,,Female,,,,,,9,,,,,,Male,,,Black,,,,,,40,,,,,,,Unknown,,0,0,0,0,-1,None
Attempted Abduction,1277717,Closed,Internet,2016-09-21,7:15 PM,School - Facility,401 E Roberta Ave,Waukesha,WI,53186,42.9928369,-88.222779,Waukesha,575747,,,,,,Unknown,,,,,,Male,,,,,,16,,,,,,Male,,,White,,,,,,50-59,,,,,White,,Ignored/Refused,,0,0,0,-1,-1,Impersonation
Attempted Abduction,1189002,Closed,Internet,2012-02-08,11:00 AM,Retail - Other,404 Hwy 27 North Bypass - Wal-Mart,Bremen,GA,30110,33.7079367,-85.1634203,Haralson,457192,,,,,,White,,,,,,Female,,,,,,7,,,,,,Male,,,White,,,25,,,,,,,,,,Released,,0,0,0,0,-1,None
Attempted Abduction,1260547,Closed,Internet,2015-12-04,12:00 AM,Auto / Vehicle,404 W State St,Payson,IL,62360,39.818111,-91.248102,Adams,551597,,,,,,Unknown,,,,,,Unknown,,,,,,Unknown,,,,,,Male,,,White,,,74,,,,,,,,,,Other,School bus drove away,0,0,0,0,-1,None
Attempted Abduction,1260550,Closed,Internet,2015-12-05,12:00 AM,Auto / Vehicle,404 W State St,Payson,IL,62360,39.818111,-91.248102,Adams,551600,,,,,,Unknown,,,,,,Unknown,,,,,,Unknown,,,,,,Male,,,White,,,74,,,,,,,,,,Adult/Child Intervened,,0,0,0,0,-1,None
Attempted Abduction,1251596,Closed,Internet,2015-07-04,12:00 AM,Restaurant,4040 Interstate 35 Frontage Rd,San Marcos,TX,78666,29.8262992,-97.9866672,Hays,538670,,,,,,Unknown,,,,,,Female,,,,,,Unknown,,,,,,Male,,,White,,,,,,Unknown,,,Van,,,,Unknown,,0,0,0,0,-1,None
Attempted Abduction,1216302,Closed,Internet,2013-05-08,12:00 AM,Street,4051 5th Ave,Kenosha,WI,53140,42.5992249,-87.8164089,Kenosha,487497,,,,,,White,,,,,,Female,,,,,,6,,,,,,Male,,,White,,,,,,Unknown,,,Van,,,,Ran Away,,0,0,0,-1,0,
Attempted Abduction,1261237,Closed,Internet,2016-01-17,7:00 PM,Street,408 E Rudisill Blvd,Fort Wayne,IN,46806,41.0496969,-85.13209,Allen,552623,,,,,,Black,,,,,,Female,,,,,,13,,,,,,Male,,,Black,,,,,,Unknown,,,"Sedan, 2 door",,,,Fought/Broke Free,Refused; Told the suspect that her brothers were on the way,0,0,0,-1,-1,Offered help
Attempted Abduction,1277742,Closed,Internet,2016-09-24,12:00 AM,Retail - Mall/ Shop Ctr,40968 US 19 N,Tarpon Springs,FL,34689,28.14525,-82.7426317,Pinellas,575777,,,,,,Unknown,,,,,,Male,,,,,,6,,,,,,Male,,,Unknown,,,,,,Unknown,,,,,,,Unknown,,0,0,0,0,-1,Help/Assistance
Attempted Abduction,1233538,Closed,Internet,2014-05-09,7:00 AM,Hotel / Motel,4127 Arendell St,Morehead City,NC,28557,34.7270327,-76.7705912,Carteret,510946,,,,,,Unknown,,,,,,Female,,,,,,7,,,,,,Male,,,White,,,53,,,,,,,,,,None,,0,0,0,0,-1,Letter
Attempted Abduction,1195713,Closed,Internet,2012-05-11,7:00 AM,School - Facility,4140 Hutchinson River Parkway East,Bronx,NY,10475,40.8641361,-73.8239598,New York City,464477,,,,,,Unknown,,,,,,Male,,,,,,6,,,,,,Male,,,Unknown,,,,,,Unknown,,,,,,,Adult/Child Intervened,,0,0,0,0,-1,None
Attempted Abduction,1244654,Closed,Internet,2015-02-16,4:53 PM,Street,4144 S Cleveland Ave,Fort Myers,FL,33901,26.6017409,-81.872321,Lee,527343,,,,,,Unknown,,,,,,Female,,,,,,16,,,,,,Male,,,Biracial,,,,,,45-55,,,Pickup Truck,,Black,,Ignored/Refused,,0,0,0,0,-1,None
Attempted Abduction,1216759,Closed,Internet,2013-05-10,12:00 AM,Gov't Facility,415 E Washington St,East Peoria,IL,61611,40.6638827,-89.5743964,Peoria,487895,,,,,,Unknown,,,,,,Male,,,,,,12,,,,,,Male,,,White,,,52,,,,,,,,,,Adult/Child Intervened,,0,0,0,0,-1,None
Attempted Abduction,1231058,Closed,Internet,2014-04-01,12:00 AM,School - Facility,4150 Fuselier Dr,North Las Vegas,NV,89032,36.2348132,-115.1775056,Clark,507225,,,,,,Unknown,,,,,,Female,,,,,,Unknown,,,,,,Male,,,White,,,,,,Unknown,,,Van,,White,,Fought/Broke Free,,0,0,0,0,-1,None
Attempted Abduction,1193722,Closed,Internet,2012-04-16,12:00 AM,Other,416 S Atlantic Blvd,Monterey Park,CA,91754,34.0573026,-118.1328734,Los Angeles,462329,,,,,,Unknown,,,,,,Male,,,,,,15,,,,,,Male,,,Hispanic,,,54,,,,,,,,,,Unknown,,0,0,0,0,-1,Unknown
Attempted Abduction,1267983,Closed,Internet,2016-04-25,7:00 PM,Restaurant,418 Rte 286,Seabrook,NH,1952,42.8715315,-70.8214412,Essex,562339,,,,,,Unknown,,,,,,Female,,,,,,14,,,,,,Male,,,White,,,33,,,,,,,,,,Other,Suspect left the area,0,0,0,0,-1,None
Attempted Abduction,1248804,Closed,Internet,2015-05-19,12:30 PM,Playgrnd,41st Ave SW,Seattle,WA,98116,47.5466522,-122.3844285,King,534036,,,,,,Unknown,,,,,,Female,,,,,,Unknown,,,,,,Male,,,White,,,,,,Unknown,,,"Sedan, 4 door",,White,,Other,"The suspect took off in his vehicle. Afterwards, the child reported the event to school faculty.",0,0,0,0,-1,None
